fecha,titulo,sumario,LastModificationDate,Id,PublicationDate,Url,Nodes_en,AuthorName
03-12-2024,"Blooming, que no quiere bajarse de la pelea por la Libertadores, recibe a Aurora","El encuentro entre cruceños y cochabambinos, correspondiente a la fecha 25 del torneo Clausura, se jugará este martes en el estadio Ramón Tahuichi Aguilera, a partir de las 20:00.",2024-12-03T18:22:02.583Z,393990,2024-12-03T12:07:00Z,blooming-que-no-quiere-bajarse-de-la-pelea-por-la-libertadores-recibe-a-aurora,Fútbol,Pedro Rivero de Ugarte
03-12-2024,CONTRATA2 conecta talento y empresas,"El portal se relanzará el 8 de diciembre, presentando nuevas herramientas y canales para potenciar su efectividad",2024-12-02T21:50:52.017Z,393950,2024-12-03T12:00:00Z,contrata2-conecta-talento-y-empresas,Santa Cruz,EL DEBER
03-12-2024,5 razones por las que es tan difícil poner fin a la guerra en Siria,"
                Casi 14 años después, Siria sigue en guerra, inmerso en un conflicto que estaba en segundo plano y volvió a ocupar la atención global por la reciente ofensiva de grupos rebeldes contra el gobierno de Bashar al Assad.
            ",2024-12-03T11:47:05.573Z,393980,2024-12-03T11:45:05Z,5-razones-por-las-que-es-tan-dificil-poner-fin-a-la-guerra-en-siria,BBC,
03-12-2024,"""Biden facilita que Trump abuse de nuevo del poder de otorgar clemencia"": cómo el indulto presidencial en EE.UU. se convirtió en instrumento político",El actual mandatario estadounidense negó en repetidas oportunidades la posibilidad de perdonar a su hijo. ¿Por qué cambió y qué implica esto para EE.UU.? ,2024-12-03T11:43:14.9Z,393982,2024-12-03T11:43:04Z,biden-facilita-que-trump-abuse-de-nuevo-del-poder-de-otorgar-clemencia-como-el-indulto-presidencial-,BBC,
03-12-2024,Segundo día de paro de transporte: la lluvia complica aún más a la gente,"Según los dirigentes del transporte urbano de Santa Cruz de la Sierra, la única forma de levantar el paro es aprobando una tarifa transitoria de Bs 2,50. ",2024-12-04T01:49:30.86Z,393989,2024-12-03T11:42:00Z,segundo-dia-de-paro-de-transporte-la-lluvia-complica-aun-mas-a-la-gente,Santa Cruz,EL DEBER
03-12-2024,“Pasé 30 años trabajando como terapeuta de asesinos y concluí que nadie nace malo”,"
                La psiquiatra forense Gwen Adshead cuenta su experiencia con asesinos en serie y comparte los descubrimientos que hizo durante su carrera para afirmar que ""no son monstruos"".
            ",2024-12-03T10:57:38.29Z,393981,2024-12-03T10:57:15Z,pase-30-anos-trabajando-como-terapeuta-de-asesinos-y-conclui-que-nadie-nace-malo,BBC,
03-12-2024,PGE 2025 prevé confiscar alimentos producidos por el sector privado y endeudamiento del BCB,"El artículo 7 de las Disposiciones Adicionales de la Ley Financial incorpora la fiscalización de la cadena productiva, bajo el argumento de garantizar el abastecimiento de alimentos. El agro y los industriales rechazan el proyecto de ley",2024-12-04T01:44:52.483Z,393970,2024-12-03T08:00:00Z,pge-2025-preve-confiscar-alimentos-producidos-por-el-sector-privado-y-endeudamiento-del-bcb,ECONOMÍA,Juan Carlos Salinas
03-12-2024,Ciudadanos exigen mano dura contra micreros que cumplieron un paro con violencia,"La gente padeció la falta de micros y la lluvia complicó más el desplazamiento. Los usuarios acudieron a camionetas, trufis y motocicletas para llegar a sus destinos. Exigen al municipio sancionar a las líneas y licitar un nuevo servicio",2024-12-04T01:49:30.86Z,393967,2024-12-03T08:00:00Z,ciudadanos-exigen-mano-dura-contra-micreros-que-cumplieron-un-paro-con-violencia,Santa Cruz,Deisy Ortiz Duran
03-12-2024,   Esta noche se estrena ‘Más allá del fuego’,"Es un documental sobre el ecocidio del bosque. Andrés Barba presentará una canción sobre el tema. Luego habrá un debate. Será desde las 19:30, en el Cine Center",2024-12-03T10:42:10.003Z,393945,2024-12-03T08:00:00Z,esta-noche-se-estrena-mas-alla-del-fuego,Santa Cruz,
03-12-2024,La máquina desquiciada,.,2024-12-02T23:34:35.84Z,393962,2024-12-03T07:00:00Z,la-maquina-desquiciada,"Opinión, Edición Impresa",Róger Cortez H
03-12-2024,La encuesta de Marcelo Claure,.,2024-12-03T04:41:29.137Z,393983,2024-12-03T07:00:00Z,la-encuesta-de-marcelo-claure,"Opinión, Edición Impresa",Carlos Hugo Molina
